1,PH_EMC3_SETUP : SETUP begin.
2,PH_EMC3_SETUP : Reset prompt.
3,PH_EMC3_SETUP : Prompt to connect WFI path
4,PH_EMC3_SETUP : Prompt to connect PW supply path
5,PH_EMC3_SETUP : Check connection
6,PH_EMC3_SETUP : Last Step
