1,PH_EMX1_CIPSIP_SETUP : Prompt to connect SMFLx CIP flowpath
2,PH_EMX1_CIPSIP_SETUP : Check connection
3,PH_EMX1_CIPSIP_SETUP : Setup Completed
4,PH_EMX1_CIPSIP_SETUP : Last Step
