1,PH_EMC3_ISOLATE : Isolate begin.
2,PH_EMC3_ISOLATE: Prompt to disconnect WFI and PW supply
3,PH_EMC3_ISOLATE : Check connection
4,PH_EMC3_ISOLATE : Last Step
