1,PH_EMA1_MIX : SIC Running
2,PH_EMA1_MIX : Wait for state change
3,PH_EMA1_MIX : SIC State Changed to Stop
4,PH_EMA1_MIX : SIC State Changed to Run
5,PH_EMA1_MIX : Disable SIC
6,PH_EMA1_MIX : Last Step
