1,PH_EMX2_ISOLATE : Prompt to remove filling machine flowpath
2,PH_EMX2_ISOLATE : Check connection
3,PH_EMX2_ISOLATE : Setup completed
4,PH_EMX2_ISOLATE : Last Step
