1,PH_EMC3_ISOLATE : Prompt to disconnect WFI and PW supply
2,PH_EMC3_ISOLATE : Check connection
3,PH_EMC3_ISOLATE : Setup completed
4,PH_EMC3_ISOLATE : Last Step
