1,RP_PCSY_CIPSIP : Recipe Procedure Commenced
2,RP_PCSY_CIPSIP : Incorrect Hygiene Status
3,RP_PCSY_CIPSIP : Initiate SETUP operations
4,RP_PCSY_CIPSIP : Initiate Sy CIP Unit Operations
5,RP_PCSY_CIPSIP : Set Sy Hygiene Status to CLEAN
6,RP_PCSY_CIPSIP : Initiate Sy SIP Operations
7,RP_PCSY_CIPSIP : Sy SIP complete
8,RP_PCSY_CIPSIP : Recipe Procedure Completed
