State,IDX,Description
USED,1,Production complete
CIP,2,Clean In Place
CLEAN,3,Clean after CIP
CLEAN_TIMEOUT,4,CIP timer expired
SIP,5,Sterilise In Place
STERILE,6,Sterile after SIP
STERILE_TIMEOUT,7,SIP timer expired
BATCH,8,Production operations
