Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
DV1111-ZSC,Default tag table,Bool,%I3.7,M1 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1111-ZSO,Default tag table,Bool,%I4.0,M1 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV1113-ZSC,Default tag table,Bool,%I4.1,M1 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1113-ZSO,Default tag table,Bool,%I4.2,M1 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV1115-ZSC,Default tag table,Bool,%I4.3,M1 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV1117-ZSC,Default tag table,Bool,%I4.4,M1 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1119-ZSC,Default tag table,Bool,%I4.5,M1 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1121-ZSC,Default tag table,Bool,%I4.6,M1 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1135-ZSC,Default tag table,Bool,%I4.7,SMFL1 Filtration Line filter outlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1137-ZSC,Default tag table,Bool,%I5.0,SMFL1 Filtration Line filter outlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1171-ZSC,Default tag table,Bool,%I5.1,MMFL1 Filtration Line filter inlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV1173-ZSC,Default tag table,Bool,%I5.2,MMFL1 Inline Heat Exchanger inlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3101-ZSC,Default tag table,Bool,%I9.7,S1 Vent Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3103-ZSC,Default tag table,Bool,%I10.0,S1 HP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3105-ZSC,Default tag table,Bool,%I10.1,S1 LP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3107-ZSC,Default tag table,Bool,%I10.2,S1 Vacuum valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3109-ZSC,Default tag table,Bool,%I10.3,S1 PS Supply for WFI Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV3111-ZSC,Default tag table,Bool,%I10.4,S1 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3111-ZSO,Default tag table,Bool,%I10.5,S1 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV3113-ZSC,Default tag table,Bool,%I10.6,S1 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3113-ZSO,Default tag table,Bool,%I10.7,S1 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV3115-ZSC,Default tag table,Bool,%I11.0,S1 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV3117-ZSC,Default tag table,Bool,%I11.1,S1 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3119-ZSC,Default tag table,Bool,%I11.2,S1 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3121-ZSC,Default tag table,Bool,%I11.3,S1 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV3123-ZSC,Default tag table,Bool,%I11.4,S1 Transfer line valve from vessel Valve CLOSED feedback ZSC switch,True,True,True,,
DV3125-ZSC,Default tag table,Bool,%I11.5,S1 Transfer line valve from SMFL Valve CLOSED feedback ZSC switch,True,True,True,,
DV3127-ZSC,Default tag table,Bool,%I11.6,S1 Transfer line valve to drain Valve CLOSED feedback ZSC switch,True,True,True,,
DV3129-ZSC,Default tag table,Bool,%I11.7,S1 Transfer line valve to filling Valve CLOSED feedback ZSC switch,True,True,True,,
ES1100-DI,Default tag table,Bool,%I5.3,M1 Emergency Stop mounted on M1 HMI Alarm input,True,True,True,,
ES1101-DI,Default tag table,Bool,%I5.4,M1 Emergency Stop mounted on M1/M2 Shared HMI Alarm input,True,True,True,,
ES1200-DI,Default tag table,Bool,%I5.5,M2 Emergency Stop mounted on M2 HMI Feed to M1 Alarm input,True,True,True,,
ES1201-DI,Default tag table,Bool,%I5.6,M2 Emergency Stop mounted on M1/M2 Shared HMI Feed to M1 Alarm input,True,True,True,,
ES3100-DI,Default tag table,Bool,%I12.0,S1 Emergency Stop mounted on S1 HMI Alarm input,True,True,True,,
ES3400-DI,Default tag table,Bool,%I12.1,S2 Emergency Stop mounted on S2 HMI Feed to S1 Alarm input,True,True,True,,
PH1001-DI,Default tag table,Bool,%I0.1,M1 Three Phase Relay Alarm input,True,True,True,,
PH3001-DI,Default tag table,Bool,%I8.1,S1 Three Phase Relay Alarm input,True,True,True,,
RD1101-DI,Default tag table,Bool,%I5.7,M1 Burst Disc Alarm input,True,True,True,,
RD3101-DI,Default tag table,Bool,%I12.2,S1 Burst Disc Alarm input,True,True,True,,
ZSC1101-DI,Default tag table,Bool,%I6.0,M1 Manway Close Indicator Switch input,True,True,True,,
ZSC1103-DI,Default tag table,Bool,%I6.1,M1 WFI Supply Flowpath Indicator Switch input,True,True,True,,
ZSC1105-DI,Default tag table,Bool,%I6.2,M1 PW Supply Flowpath Indicator Switch input,True,True,True,,
ZSC1107-DI,Default tag table,Bool,%I6.3,M1 inlet line Flowpath Indicator Switch input,True,True,True,,
ZSC1109-DI,Default tag table,Bool,%I6.4,SMFL1 Filtration Line outlet Flowpath Indicator Switch input,True,True,True,,
ZSC1111-DI,Default tag table,Bool,%I6.5,SMFL1 Filtration Outlet CIP & SIP Flowpath Indicator Switch input,True,True,True,,
ZSC1113-DI,Default tag table,Bool,%I6.6,MMFL1 Filtration Inlet Flowpath Indicator Switch input,True,True,True,,
ZSC1115-DI,Default tag table,Bool,%I6.7,MMFL1 Filtration Inlet CIP & SIP Flowpath Indicator Switch input,True,True,True,,
ZSC3101-DI,Default tag table,Bool,%I12.3,S1 Manway Close Indicator Switch input,True,True,True,,
ZSC3103-DI,Default tag table,Bool,%I12.4,S1 WFI Supply Flowpath Indicator Switch input,True,True,True,,
ZSC3105-DI,Default tag table,Bool,%I12.5,S1 PW Supply Flowpath Indicator Switch input,True,True,True,,
ZSC3107-DI,Default tag table,Bool,%I12.6,S1 Inlet line Flowpath Indicator Switch input,True,True,True,,
ZSC3111-DI,Default tag table,Bool,%I12.7,VTL1 to M1 Flowpath Indicator Switch input,True,True,True,,
ZSC3113-DI,Default tag table,Bool,%I13.0,VTL1 to M2 Flowpath Indicator Switch input,True,True,True,,
ZSC3115-DI,Default tag table,Bool,%I13.1,S1 to F1P1 Flowpath Indicator Switch input,True,True,True,,
ZSC3117-DI,Default tag table,Bool,%I13.2,S1 to F2P1 Flowpath Indicator Switch input,True,True,True,,
HE1101-CMD,Default tag table,Bool,%Q0.0,M1 Electric Heating Element Heating element output,True,True,True,,
HE3101-CMD,Default tag table,Bool,%Q1.0,S1 Electric Heating Element Heating element output,True,True,True,,
VP1000-CMD,Default tag table,Bool,%Q0.1,Mx Vacuum Pump 1 Motor RUN / STOP command,True,True,True,,
VP1001-CMD,Default tag table,Bool,%Q0.2,Mx Vacuum Pump 2 Motor RUN / STOP command,True,True,True,,
VP3000-CMD,Default tag table,Bool,%Q1.1,Sy Vacuum Pump 1 Motor RUN / STOP command,True,True,True,,
VP3001-CMD,Default tag table,Bool,%Q1.2,Sy Vacuum Pump 2 Motor RUN / STOP command,True,True,True,,
AG1101-RAW,Default tag table,Int,%IW20,M1 Agitator Motor speed pulse counter raw field value,True,True,True,,
PI1103-RAW,Default tag table,Int,%IW24,M1 Vessel Pressure Pressure input raw field value,True,True,True,,
PI3103-RAW,Default tag table,Int,%IW40,S1 Vessel Pressure Pressure input raw field value,True,True,True,,
TI1101-RAW,Default tag table,Int,%IW22,M1 Vent Filter Temperature Indicator Line Temperature input raw field value,True,True,True,,
TI1103-RAW,Default tag table,Int,%IW26,M1 Vent Filter top outlet temperature Line Temperature input raw field value,True,True,True,,
TI1105-RAW,Default tag table,Int,%IW28,M1 Temperature Indicator Temperature input raw field value,True,True,True,,
TI1107-RAW,Default tag table,Int,%IW30,M1 Drain Temperature Indicator Line Temperature input raw field value,True,True,True,,
TI1109-RAW,Default tag table,Int,%IW32,Manufacturing Filtration Line Inline Heat Exchanger Temperature Temperature input raw field value,True,True,True,,
TI1111-RAW,Default tag table,Int,%IW34,SMFL1 Drain Temperature Indicator Line Temperature input raw field value,True,True,True,,
TI3101-RAW,Default tag table,Int,%IW42,S1 Vent Filter Temperature Indicator Line Temperature input raw field value,True,True,True,,
TI3103-RAW,Default tag table,Int,%IW44,S1 Vent Filter top outlet temperature Line Temperature input raw field value,True,True,True,,
TI3105-RAW,Default tag table,Int,%IW46,S1 Temperature Indicator Temperature input raw field value,True,True,True,,
TI3107-RAW,Default tag table,Int,%IW48,S1 Drain temperature Line Temperature input raw field value,True,True,True,,
TCV1157-MOD,Default tag table,Int,%QW10,Manufacturing Filtration Line cooling water supply valve Valve position in %,True,True,True,,
AG1101-FLT,Default tag table,Bool,%I7.4,M1 Agitator Inverter fault,True,True,True,,
AG1101-CMD,Default tag table,Bool,%Q0.3,M1 Agitator Inverter motor RUN / STOP command,True,True,True,,
AG1101-OUT_F,Default tag table,Bool,%Q0.4,M1 Agitator Motor run forward,True,True,True,,
AG1101-OUT_R,Default tag table,Bool,%Q0.5,M1 Agitator Motor run reverse,True,True,True,,
BAV1139-CMD,Default tag table,Bool,%Q20.0,M1 Vent line drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV1141-CMD,Default tag table,Bool,%Q20.1,M1 Vent Filter AF1101 Drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV1143-CMD,Default tag table,Bool,%Q20.2,M1 SIP Condensate Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV1145-CMD,Default tag table,Bool,%Q20.3,M1 CIP Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV1147-CMD,Default tag table,Bool,%Q20.4,SMFL1 Filtration Line SIP Condenste Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV1149-CMD,Default tag table,Bool,%Q20.5,SMFL1 Filtration Line CIP Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV1167-CMD,Default tag table,Bool,%Q20.6,Manufacturing Filtration Line Cooling Water Supply Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV1169-CMD,Default tag table,Bool,%Q20.7,Manufacturing Filtration Line Cooling Water Return Drain Valve Valve OPEN / CLOSE command,True,True,True,,
BAV3139-CMD,Default tag table,Bool,%Q24.0,S1 Vent line drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV3141-CMD,Default tag table,Bool,%Q24.1,S1 Vent Filter AF3101 Drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV3143-CMD,Default tag table,Bool,%Q24.2,S1 SIP Drain valve Valve OPEN / CLOSE command,True,True,True,,
BAV3145-CMD,Default tag table,Bool,%Q24.3,S1 CIP Drain valve Valve OPEN / CLOSE command,True,True,True,,
