Name,ListRange,Comment [en-US]
CRIL_Title,Decimal,"Critical Interlocks"
NCRIL_Title,Decimal,"Non-Critical Interlocks"
CRIL_Description,Decimal,"Critical Interlocks"
NCRIL_Description,Decimal,"Non-Critical Interlocks"
