Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
BAV2167-ZSO,Default tag table,Bool,%I2.3,MFL2 PCW Supply Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV2169-ZSC,Default tag table,Bool,%I2.4,MFL2 PCW Return Drain Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV2169-ZSO,Default tag table,Bool,%I2.5,MFL2 PCW Return Drain Valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4139-ZSC,Default tag table,Bool,%I8.3,S2 Vent line drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4139-ZSO,Default tag table,Bool,%I8.4,S2 Vent line drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4141-ZSC,Default tag table,Bool,%I8.5,S2 Vent Filter drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4141-ZSO,Default tag table,Bool,%I8.6,S2 Vent Filter drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4143-ZSC,Default tag table,Bool,%I8.7,S2 SIP Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4143-ZSO,Default tag table,Bool,%I9.0,S2 SIP Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BAV4145-ZSC,Default tag table,Bool,%I9.1,S2 CIP Drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
BAV4145-ZSO,Default tag table,Bool,%I9.2,S2 CIP Drain valve Valve OPENED feedback ZSO switch,True,True,True,,
BV2151-ZSC,Default tag table,Bool,%I6.2,MFL2 PCW Return Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BV2151-ZSO,Default tag table,Bool,%I6.3,MFL2 PCW Return Valve Valve OPENED feedback ZSO switch,True,True,True,,
BV2153-ZSC,Default tag table,Bool,%I6.4,MFL2 PCW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
BV2153-ZSO,Default tag table,Bool,%I6.5,MFL2 PCW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV2101-ZSC,Default tag table,Bool,%I2.6,M2 Vent Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2103-ZSC,Default tag table,Bool,%I2.7,M2 HP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2105-ZSC,Default tag table,Bool,%I3.0,M2 LP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2107-ZSC,Default tag table,Bool,%I3.1,M2 Vacuum valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2109-ZSC,Default tag table,Bool,%I3.2,M2 PS Supply for WFI Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV2111-ZSC,Default tag table,Bool,%I3.3,M2 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2111-ZSO,Default tag table,Bool,%I3.4,M2 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV2113-ZSC,Default tag table,Bool,%I3.5,M2 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2113-ZSO,Default tag table,Bool,%I3.6,M2 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV2115-ZSC,Default tag table,Bool,%I3.7,M2 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV2117-ZSC,Default tag table,Bool,%I4.0,M2 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2119-ZSC,Default tag table,Bool,%I4.1,M2 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2121-ZSC,Default tag table,Bool,%I4.2,M2 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2135-ZSC,Default tag table,Bool,%I4.3,SMFL2 outlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2137-ZSC,Default tag table,Bool,%I4.4,SMFL2 Filter outlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2171-ZSC,Default tag table,Bool,%I4.5,MMFL2 Filter inlet drain valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV2173-ZSC,Default tag table,Bool,%I4.6,MMFL2 HEX inlet valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4101-ZSC,Default tag table,Bool,%I9.3,S2 Vent Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4103-ZSC,Default tag table,Bool,%I9.4,S2 HP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4105-ZSC,Default tag table,Bool,%I9.5,S2 LP CA Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4107-ZSC,Default tag table,Bool,%I9.6,S2 Vacuum valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4109-ZSC,Default tag table,Bool,%I9.7,S2 PS Supply for WFI Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV4111-ZSC,Default tag table,Bool,%I10.0,S2 WFI Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4111-ZSO,Default tag table,Bool,%I10.1,S2 WFI Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV4113-ZSC,Default tag table,Bool,%I10.2,S2 PW Supply Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4113-ZSO,Default tag table,Bool,%I10.3,S2 PW Supply Valve Valve OPENED feedback ZSO switch,True,True,True,,
DV4115-ZSC,Default tag table,Bool,%I10.4,S2 PS Supply for PW Loop Valve CLOSED feedback ZSC switch,True,True,True,,
DV4117-ZSC,Default tag table,Bool,%I10.5,S2 Spray Ball 1 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4119-ZSC,Default tag table,Bool,%I10.6,S2 Spray Ball 2 Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4121-ZSC,Default tag table,Bool,%I10.7,S2 Outlet Valve Valve CLOSED feedback ZSC switch,True,True,True,,
DV4123-ZSC,Default tag table,Bool,%I11.0,S2 Transfer valve from vessel Valve CLOSED feedback ZSC switch,True,True,True,,
DV4125-ZSC,Default tag table,Bool,%I11.1,S2 Transfer valve from SMFL Valve CLOSED feedback ZSC switch,True,True,True,,
DV4127-ZSC,Default tag table,Bool,%I11.2,S2 Transfer valve to drain Valve CLOSED feedback ZSC switch,True,True,True,,
DV4129-ZSC,Default tag table,Bool,%I11.3,S2 Transfer valve to filling Valve CLOSED feedback ZSC switch,True,True,True,,
ES2100-DI,Default tag table,Bool,%I5.0,M2 EStop on M2 HMI Alarm input,True,True,True,,
ES2101-DI,Default tag table,Bool,%I4.7,M2 EStop on M1/M2 Shared HMI Alarm input,True,True,True,,
ES4100-DI,Default tag table,Bool,%I11.4,S2 EStop on S2 HMI Alarm input,True,True,True,,
PH2001-DI,Default tag table,Bool,%I0.1,M2 Three Phase Relay Alarm input,True,True,True,,
RD2101-DI,Default tag table,Bool,%I5.1,M2 Burst Disc Alarm input,True,True,True,,
RD4101-DI,Default tag table,Bool,%I11.5,S2 Burst Disc Alarm input,True,True,True,,
ZSC2101-DI,Default tag table,Bool,%I5.2,M2 Manway Close Indicator Switch input,True,True,True,,
ZSC2103-DI,Default tag table,Bool,%I5.3,M2 WFI Supply Flowpath Switch input,True,True,True,,
ZSC2105-DI,Default tag table,Bool,%I5.4,M2 PW Supply Flowpath Switch input,True,True,True,,
ZSC2107-DI,Default tag table,Bool,%I5.5,M2 inlet line Flowpath Switch input,True,True,True,,
ZSC2109-DI,Default tag table,Bool,%I5.6,SMFL2 outlet Flowpath Switch input,True,True,True,,
ZSC2111-DI,Default tag table,Bool,%I5.7,SMFL2 Outlet CIPSIP Flowpath Switch input,True,True,True,,
